GM12348	GSM420891
GM12349	GSM420892
GM12351	GSM420893
GM12376	GSM420894
GM12377	GSM420895
GM12379	GSM420896
GM12380	GSM420897
GM12381	GSM420898
GM12382	GSM420899
GM12383	GSM420900
GM12385	GSM420901
GM12386	GSM420902
GM12387	GSM420903
GM12389	GSM420904
GM12390	GSM420905
GM12391	GSM420906
GM12392	GSM420907
GM12393	GSM420908
GM12395	GSM420909
GM12397	GSM420910
GM12398	GSM420911
GM12399	GSM420912
GM12400	GSM420913
GM12455	GSM420914
GM12456	GSM420915
GM12457	GSM420916
GM12458	GSM420917
GM12459	GSM420918
GM12460	GSM420919
GM12461	GSM420920
GM12462	GSM420921
GM12466	GSM420922
GM12467	GSM420923
GM12470	GSM420924
GM12471	GSM420925
GM12474	GSM420926
GM12475	GSM420927
GM12477	GSM420928
GM12479	GSM420929
GM12480	GSM420930
GM12481	GSM420931
GM12484	GSM420932
GM12488	GSM420933
GM12489	GSM420934
GM12491	GSM420935
GM12707	GSM420936
GM12708	GSM420937
GM12709	GSM420938
GM12710	GSM420939
GM12711	GSM420940
GM12712	GSM420941
GM12713	GSM420942
GM12714	GSM420943
GM12716	GSM420944
GM12717	GSM420945
GM12718	GSM420946
GM12719	GSM420947
GM12739	GSM420948
GM12739	GSM420949
GM12740	GSM420950
GM12741	GSM420951
GM12742	GSM420952
GM12743	GSM420953
GM12744	GSM420954
GM12745	GSM420955
GM12746	GSM420956
GM12747	GSM420957
GM12748	GSM420958
GM12748	GSM420959
GM12749	GSM420960
GM12749	GSM420961
GM12750	GSM420962
GM12750	GSM420963
GM12751	GSM420964
GM12751	GSM420965
GM12752	GSM420966
GM12752	GSM420967
GM12753	GSM420968
GM12753	GSM420969
GM12754	GSM420970
GM12755	GSM420971
GM12756	GSM420972
GM12757	GSM420973
GM12758	GSM420974
GM12760	GSM420975
GM12760	GSM420976
GM12761	GSM420977
GM12761	GSM420978
GM12762	GSM420979
GM12762	GSM420980
GM12763	GSM420981
GM12763	GSM420982
